2018-02-13_11_29_38;sadness
2018-02-13_11_36_08;neutral
2018-02-13_11_45_35;surprise
2018-02-13_11_46_08;surprise
2018-02-13_11_57_34;neutral
2018-02-13_13_57_56;neutral
2018-02-13_13_58_30;neutral
2018-02-13_13_59_03;sadness
2018-02-13_14_17_14;neutral
2018-02-13_14_17_46;neutral
2018-02-13_14_57_04;neutral
2018-02-13_14_59_31;neutral
2018-02-13_15_00_04;neutral
2018-02-13_15_01_09;neutral
2018-02-13_15_01_41;surprise
2018-02-13_15_02_15;neutral
2018-02-13_15_02_47;neutral
2018-02-13_15_03_19;surprise
2018-02-13_15_03_53;surprise
2018-02-13_15_04_26;surprise
2018-02-13_15_04_59;surprise
2018-02-13_15_06_36;surprise
2018-02-13_15_08_14;surprise
2018-02-13_15_08_48;neutral
2018-02-13_15_09_21;surprise
2018-02-13_15_09_54;surprise
2018-02-13_15_11_31;surprise
2018-02-13_16_50_49;neutral
2018-02-13_16_51_22;surprise
2018-02-13_16_53_07;neutral
2018-02-13_16_53_40;sadness
2018-02-13_16_54_03;happy
2018-02-13_16_54_37;surprise
2018-02-13_16_55_09;neutral
2018-02-13_16_55_42;neutral
2018-02-13_16_56_14;neutral
2018-02-13_16_56_47;neutral
2018-02-13_16_57_19;surprise
2018-02-13_16_57_52;neutral
2018-02-15_10_50_42;sadness
2018-02-15_10_51_15;neutral
2018-02-15_10_51_47;sadness
2018-02-15_10_52_20;surprise
2018-02-15_13_56_21;happy
2018-02-15_13_56_55;neutral
2018-02-15_13_57_28;anger
2018-02-15_13_58_33;anger
2018-02-15_13_58_57;sadness
2018-02-15_13_59_15;anger
2018-02-15_13_59_33;neutral
2018-02-15_13_59_50;surprise
2018-02-15_14_00_07;neutral
2018-02-15_14_03_51;happy
2018-02-15_14_04_09;neutral
2018-02-15_14_04_27;neutral
2018-02-15_14_04_44;happy
2018-02-15_14_05_01;happy
2018-02-15_14_05_18;anger
2018-02-15_14_05_37;sadness
2018-02-15_14_05_54;neutral
2018-02-15_14_06_11;neutral
2018-02-15_14_06_30;neutral
2018-02-15_14_06_47;happy
2018-02-15_14_07_04;happy
